Country,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,KMeans_Cluster,HC_Cluster,DBSCAN_Cluster,Cluster_Name
Dominica,0.018519753483290553,7.254123443932228,2.9484793887034453,9.20432229965062,19.815350934863083,0.05069311431551812,5.69760961554912,0.012080581202269408,0.29725152346793166,0.09475058269962663,4.334773749823336,4.255067007212594,0.6296337748376194,0.2619795750994079,0.4962194713766286,0.050693114315518116,11.16467537166425,0.5123168190737165,18.08466995331012,16.177814979862838,1,0,-1,Moderately Developed
Dominican Republic,0.02296504240069268,9.838649499363829,3.6536507622301926,8.949924208726708,24.348149020189293,0.05456102645393112,5.363816964165158,0.028138825170991724,0.16290347093685303,0.19619917463568876,4.331744974161175,4.247395736715942,0.41566927828240613,0.2827468372650499,0.48000155987995363,0.05550747914734749,16.0642876345531,0.5228606042933622,22.02456776093903,20.012424575813167,3,0,-1,Developing
Ecuador,0.022889862909622423,10.124983593604174,4.082739016101793,9.294617887163662,24.60766729473817,0.05906684803066389,5.395374271687303,0.02334085510006868,0.1228981363231539,0.11887645474980839,4.366522448137917,4.290459441148391,0.4456715285862049,0.2803669203094838,0.4819036956001686,0.055725764155672305,16.455834014274167,0.4815710829245593,20.226317832665853,20.340765772704884,3,0,-1,Developing
"Egypt, Arab Rep.",0.023866755716975132,11.864431380160879,2.980228087018026,10.956611527613953,25.678150090270112,0.050912452645770524,4.535902551482513,0.02506777672908057,0.1497453863593419,0.11860321204027309,4.2915126271330495,4.2251478780523675,0.3528213746227424,0.28286278601583204,0.4814285007613463,0.0531031939922265,18.108204034988002,0.35751305416467916,22.833544303349605,21.504142086070047,3,3,-1,Developing
El Salvador,0.02130978658675106,8.810895566960324,3.6375861597263857,8.539511505412788,23.631892183641074,0.06837729744473686,5.348205828466531,0.019350036204498388,0.07410797215372189,0.11470136911897535,4.338797900123062,4.208131018193999,0.5260930958967791,0.29850787678263535,0.4629112298439761,0.06152918994686177,15.625454327100538,0.48342280341663363,20.296734227796943,19.483532994550863,1,0,-1,Moderately Developed
Equatorial Guinea,0.0370734389951433,8.515638136791443,4.423676477876443,9.24309049177777,22.812216466134842,0.029260027216913724,6.129385330707113,0.08136727383531211,0.022814677766171347,0.14622927831520427,3.9512437185814275,3.901195366776083,0.2384110234449982,0.34020153786121576,0.4464101719781533,0.03149866705937099,13.343268856872335,0.32924840526815696,20.185477399134857,19.780670619752154,0,1,-1,Low Developed
Eritrea,0.038554811016285315,7.510725237387948,4.196623411342519,7.690030991237396,21.09475277707524,0.03239272165625176,2.2713325494899412,0.0452674832919102,0.03030534949532895,0.11332868530700319,4.134550982700141,4.056456294302598,0.1497453863593419,0.3647499454880162,0.43168251133529034,0.019802627296179712,15.429622667759116,0.1765356197269107,19.134572797423807,19.93800336967164,0,1,-1,Low Developed
Estonia,0.010787756199964254,9.638339416692022,3.2843754224853225,8.558438480949901,23.461398511708975,0.0531031939922265,6.462669377699352,0.005523180656110333,0.4603417183339986,0.06477887686520348,4.377207348237933,4.230756417711977,0.7197142079446671,0.1472920482591414,0.5150321485373542,0.15509528848904133,14.11820626351426,0.522404483139678,20.91997063749331,20.23725789774884,1,0,-1,Moderately Developed
Ethiopia,0.03759216885967801,8.696870228908361,3.200241745323308,10.253618825591534,23.682911332418566,0.043206840820029874,2.390877700139724,0.06441832160620463,0.0,0.08970006691355807,4.091777166716855,4.053789626055683,0.03774032798284703,0.37542875596037667,0.4138401953621423,0.031349580216008754,18.17866821775673,0.14961292725589634,20.570204308534766,18.478223708672207,0,1,-1,Low Developed
Faeroe Islands,0.01821766149398311,7.574124019278688,3.295836866004329,9.57073837671504,22.293259980784214,0.05921185963184608,5.267858159063328,0.019802627296179712,0.5169606123335067,0.11332868530700319,4.428983617761652,4.36554540849009,0.653926467406664,0.2619795750994079,0.4962194713766286,0.050693114315518116,10.795554946308798,0.3332252124976488,20.350025877585416,19.93800336967164,1,0,-1,Moderately Developed
Fiji,0.022664290518726468,7.710963449104556,3.7647715480611597,9.22091503188626,21.777702760070948,0.03670275285085347,4.859812404361672,0.019878039233925192,0.1228981363231539,0.07453645177178925,4.28411692517192,4.203543854187092,0.36890751237436675,0.2695572675932326,0.4995157537735459,0.04173234925238448,13.636043753254532,0.40725837104549717,20.309729786189337,18.492643569065354,1,0,-1,Moderately Developed
Finland,0.010939940038334362,10.863608181422002,2.9484793887034453,10.464592341249581,26.037752403014668,0.07987701347363785,8.087238334754787,0.002918813040810851,0.5441116013994574,0.0882926071456783,4.4262275296596725,4.3428059215206005,0.7743726204825311,0.15864605497613563,0.5102408374271699,0.15047359797008644,15.479217561170174,0.6044840905927975,22.01588329939151,22.146615106258217,2,2,-1,Highly Developed
France,0.012916225266546327,12.678066840361948,2.70805020110221,11.567786713296986,28.410669431517228,0.1045678939238896,8.249454510611292,0.003992021269537453,0.42577037426890996,0.09496046831273838,4.4471659368448435,4.359663038587023,0.5792029212107276,0.169937497594233,0.500542160507307,0.15298516571464982,17.965870547732955,0.5730200535129395,24.706048357574012,24.3638954014613,2,2,-1,Highly Developed
